id,id_user,stat_sus,update_time,longitude,latitude,longitude_user,latitude_user,mean_vertical,std_dev_vertical,mean_horizontal,std_dev_horizontal,accuracy
1,User_1,-2,1640090595075,19.902569,50.062370,19.90261,50.06237,-38.06296,0.70992,23.77492,0.38520,5.00
2,User_1,-2,1640090638532,19.902569,50.062183,19.90255,50.06216,-38.23963,0.21127,21.44259,0.24828,5.00
3,User_1,-2,1640090665919,19.902285,50.062183,19.90231,50.06215,-42.13811,0.25847,16.86738,0.30090,5.00
4,User_1,-2,1640090700818,19.902855,50.061996,19.90284,50.06198,-40.30558,0.20190,22.43122,0.23967,5.00
5,User_1,-2,1640090720336,19.902569,50.061996,19.90259,50.06201,-45.11718,0.62512,15.03313,0.33739,5.00
6,User_1,-2,1640090741622,19.902285,50.061996,19.90233,50.06201,-45.59156,0.45526,13.47632,0.39075,5.00
7,User_1,-2,1640090787055,19.903139,50.061810,19.90313,50.06180,-40.31277,0.29284,23.40471,0.28680,5.00
8,User_1,-2,1640090805879,19.902855,50.061810,19.90286,50.06182,-43.92171,0.28894,16.08719,0.36829,5.00
9,User_1,-2,1640090824731,19.902569,50.061810,19.90260,50.06182,-45.29980,0.49176,13.97648,0.37400,5.00
10,User_1,-2,1640090859213,19.902285,50.061810,19.90227,50.06181,-44.70820,0.42812,17.76814,0.32671,5.00
11,User_2,-2,1641332080011,19.902000,50.061810,19.90200,50.06181,-45.94885,0.58375,18.35022,0.26468,
12,User_2,-2,1641332151280,19.903139,50.061626,19.90313,50.06163,-39.02266,0.30198,21.38633,0.23485,
13,User_2,-2,1641332177356,19.902855,50.061626,19.90285,50.06163,-42.25079,0.30140,17.57792,0.26731,
14,User_2,-2,1641332211218,19.902569,50.061626,19.90258,50.06163,-42.99320,0.21848,17.06306,0.25110,
15,User_2,-2,1641332294351,19.902285,50.061626,19.90229,50.06164,-42.10041,0.70338,19.17264,0.41869,
16,User_2,-2,1641332351896,19.902000,50.061626,19.90200,50.06165,-40.12128,0.24814,20.37572,0.28954,
17,User_2,-2,1641332497811,19.903423,50.061440,19.90345,50.06142,-41.11955,4.81925,20.33382,0.66294,
18,User_2,-2,1641332526370,19.903139,50.061440,19.90314,50.06146,-42.77398,0.37844,18.85174,0.40940,
19,User_2,-2,1641332560560,19.902855,50.061440,19.90286,50.06144,-42.10285,0.28519,18.46521,0.33861,
20,User_2,-2,1641332597404,19.902569,50.061440,19.90254,50.06143,-43.20416,0.21745,16.19410,0.27644,
21,User_2,-2,1641332623227,19.902285,50.061440,19.90230,50.06143,-43.69793,0.23451,17.61758,0.18917,
22,User_2,-2,1641332645853,19.902000,50.061440,19.90200,50.06143,-43.61545,0.46276,17.20543,0.26086,
23,User_2,-2,1641332675436,19.901714,50.061440,19.90173,50.06144,-43.47760,0.44759,18.37135,0.34618,
24,User_2,-2,1641333130205,19.903423,50.061253,19.90340,50.06125,-37.91244,7.14685,21.00701,1.06614,
25,User_2,-2,1641333163144,19.903139,50.061253,19.90316,50.06127,-43.12460,0.58751,19.17274,0.38040,
26,User_2,-2,1641333196235,19.902855,50.061253,19.90288,50.06125,-44.23913,0.43202,18.66985,0.44647,
27,User_2,-2,1641333227160,19.902569,50.061253,19.90254,50.06125,-42.89742,0.32217,18.39803,0.23288,
28,User_2,-2,1641333250966,19.902285,50.061253,19.90227,50.06125,-45.18446,0.50159,19.20387,0.29961,
29,User_2,-2,1641333280554,19.902000,50.061253,19.90200,50.06125,-44.26431,0.49968,17.90838,0.30064,
30,User_2,-2,1641333309921,19.901714,50.061253,19.90172,50.06125,-53.08064,0.47204,17.57472,0.25805,
31,User_2,-2,1641333529845,19.903708,50.061066,19.90372,50.06107,-43.66489,0.13947,16.56268,0.22012,
32,User_2,-2,1641333571641,19.903423,50.061066,19.90344,50.06107,-45.90101,0.18340,15.62847,0.38400,
33,User_2,-2,1641333600578,19.903139,50.061066,19.90313,50.06105,-47.59713,0.47951,17.67591,0.39550,
34,User_2,-2,1641333624117,19.902855,50.061066,19.90288,50.06106,-45.67605,0.18123,16.89320,0.33996,
35,User_2,-2,1641333650377,19.902569,50.061066,19.90258,50.06105,-46.70987,0.58688,17.34348,0.36423,
36,User_2,-2,1641333675267,19.902285,50.061066,19.90227,50.06105,-45.03222,0.31172,17.21555,0.32139,
37,User_2,-2,1641333700407,19.902000,50.061066,19.90198,50.06105,-44.89514,0.89673,17.22553,0.32445,
38,User_2,-2,1641333724195,19.901714,50.061066,19.90171,50.06105,-44.56186,0.18504,16.07169,0.29650,
